Month,RP,RB,NN,VB,FW,JJ,JJR,JJS,NNP,NNS,POS,RBR,RBS,VBD,VBG,VBN,VBP,VBZ
17-9-2016,0,2,702,27,17,87,0,0,73,21,0,0,1,2,0,1,24,10
23-8-2016,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
28-11-2016,0,0,21,1,1,1,0,0,1,2,0,0,0,0,0,0,1,0
22-9-2016,1,12,1033,30,41,138,1,0,54,43,0,0,0,8,0,0,35,20
18-11-2016,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13-10-2014,0,0,12,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1
5-12-2016,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
20-9-2016,0,0,46,0,4,6,0,0,1,3,0,0,0,1,0,0,1,2
3-12-2016,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16-9-2016,0,0,89,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0
5-9-2016,0,0,74,4,1,12,0,0,3,2,0,0,0,0,0,0,4,2
1-12-2016,0,0,45,0,1,11,0,0,1,6,0,0,1,0,0,0,4,1
24-9-2016,0,8,1443,69,46,166,0,0,51,55,0,0,0,8,0,0,64,43
26-9-2014,0,0,10,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
18-9-2016,0,0,28,0,0,4,0,0,4,1,0,0,0,0,0,0,1,0
21-11-2016,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23-9-2016,0,3,213,10,10,28,0,0,22,13,0,0,0,0,0,0,10,2
29-7-2016,0,8,405,11,9,62,0,0,16,12,0,0,0,3,0,0,16,11
10-11-2016,0,0,16,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0
15-11-2016,0,0,14,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0
11-11-2016,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
12-9-2016,0,0,64,1,2,5,0,0,0,3,0,0,0,0,0,0,2,1
12-11-2016,0,5,24,4,0,2,0,0,0,3,0,0,0,3,2,0,4,2
26-9-2016,0,0,251,3,18,28,0,0,1,6,0,0,0,1,0,0,9,5
30-11-2016,0,1,89,7,0,6,0,0,4,2,0,0,0,0,0,0,6,0
4-9-2016,0,0,80,1,6,8,0,0,0,1,0,0,0,2,0,0,0,1
10-9-2016,0,0,95,4,4,8,0,0,11,3,0,0,0,0,0,0,1,0
9-9-2016,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-9-2016,0,1,171,7,0,22,0,0,8,9,0,0,0,0,0,0,6,2
14-9-2014,0,0,41,2,1,7,0,0,11,0,0,0,0,4,0,0,2,1
6-9-2016,0,0,9,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
25-9-2016,0,0,21,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0
24-11-2016,0,0,80,3,2,7,0,0,0,2,0,0,0,0,0,0,5,3
31-8-2016,0,6,398,13,13,45,1,0,16,15,0,0,0,1,0,0,8,4
15-9-2016,0,1,119,5,5,9,0,0,13,6,0,0,0,0,0,0,9,2
19-11-2016,0,0,34,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3-9-2016,0,0,87,2,2,5,0,0,1,1,0,0,0,0,0,0,0,0
13-9-2016,0,2,232,7,7,29,1,0,6,7,0,0,0,2,0,0,7,7
2-9-2016,0,1,170,5,4,18,1,0,3,7,0,0,0,2,1,0,8,2
30-8-2016,0,0,29,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0
9-12-2016,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1-9-2016,0,1,48,3,6,12,0,0,2,2,0,0,0,0,0,0,4,1
13-11-2016,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-11-2016,0,0,38,0,0,4,0,0,2,1,0,0,0,0,0,0,1,1
9-11-2016,0,0,40,1,2,7,0,0,15,1,0,0,0,2,0,0,1,0
19-9-2016,0,0,95,4,12,8,0,0,6,6,0,0,0,0,0,0,6,2
7-9-2016,0,2,161,12,6,27,1,0,4,12,0,0,0,0,0,0,9,4
8-9-2016,0,5,542,22,18,58,0,0,61,18,0,0,0,3,0,0,23,14
21-9-2016,0,0,167,3,1,18,0,0,1,9,0,0,0,1,0,0,5,1
