image,filter,row,column,diffInAverage
1,Plant-Health,1,1,6
1,Plant-Health,1,2,4
1,Plant-Health,1,3,11
1,Plant-Health,1,4,6
1,Plant-Health,1,5,8
1,Plant-Health,2,1,26
1,Plant-Health,2,2,22
1,Plant-Health,2,3,18
1,Plant-Health,2,4,8
1,Plant-Health,2,5,12
1,Plant-Health,3,1,11
1,Plant-Health,3,2,8
1,Plant-Health,3,3,7
1,Plant-Health,3,4,2
1,Plant-Health,3,5,14
1,Plant-Health,4,1,-5
1,Plant-Health,4,2,-6
1,Plant-Health,4,3,2
1,Plant-Health,4,4,0
1,Plant-Health,4,5,5
1,Plant-Health,5,1,1
1,Plant-Health,5,2,-11
1,Plant-Health,5,3,-6
1,Plant-Health,5,4,13
1,Plant-Health,5,5,11
1,RGB,1,1,6
1,RGB,1,2,4
1,RGB,1,3,9
1,RGB,1,4,8
1,RGB,1,5,7
1,RGB,2,1,28
1,RGB,2,2,23
1,RGB,2,3,17
1,RGB,2,4,8
1,RGB,2,5,13
1,RGB,3,1,12
1,RGB,3,2,9
1,RGB,3,3,10
1,RGB,3,4,4
1,RGB,3,5,14
1,RGB,4,1,-3
1,RGB,4,2,-4
1,RGB,4,3,3
1,RGB,4,4,3
1,RGB,4,5,5
1,RGB,5,1,4
1,RGB,5,2,-10
1,RGB,5,3,-4
1,RGB,5,4,14
1,RGB,5,5,13
1,NDVI,1,1,2
1,NDVI,1,2,6
1,NDVI,1,3,9
1,NDVI,1,4,5
1,NDVI,1,5,8
1,NDVI,2,1,22
1,NDVI,2,2,21
1,NDVI,2,3,12
1,NDVI,2,4,9
1,NDVI,2,5,9
1,NDVI,3,1,17
1,NDVI,3,2,11
1,NDVI,3,3,10
1,NDVI,3,4,5
1,NDVI,3,5,13
1,NDVI,4,1,2
1,NDVI,4,2,3
1,NDVI,4,3,9
1,NDVI,4,4,5
1,NDVI,4,5,8
1,NDVI,5,1,0
1,NDVI,5,2,1
1,NDVI,5,3,5
1,NDVI,5,4,11
1,NDVI,5,5,14
1,Moisture-Differentiation,1,1,1
1,Moisture-Differentiation,1,2,4
1,Moisture-Differentiation,1,3,11
1,Moisture-Differentiation,1,4,6
1,Moisture-Differentiation,1,5,9
1,Moisture-Differentiation,2,1,31
1,Moisture-Differentiation,2,2,27
1,Moisture-Differentiation,2,3,17
1,Moisture-Differentiation,2,4,9
1,Moisture-Differentiation,2,5,13
1,Moisture-Differentiation,3,1,22
1,Moisture-Differentiation,3,2,14
1,Moisture-Differentiation,3,3,13
1,Moisture-Differentiation,3,4,6
1,Moisture-Differentiation,3,5,16
1,Moisture-Differentiation,4,1,1
1,Moisture-Differentiation,4,2,-0
1,Moisture-Differentiation,4,3,9
1,Moisture-Differentiation,4,4,7
1,Moisture-Differentiation,4,5,9
1,Moisture-Differentiation,5,1,0
1,Moisture-Differentiation,5,2,-8
1,Moisture-Differentiation,5,3,0
1,Moisture-Differentiation,5,4,15
1,Moisture-Differentiation,5,5,18
1,Floods-Burned-Land,1,1,4
1,Floods-Burned-Land,1,2,5
1,Floods-Burned-Land,1,3,11
1,Floods-Burned-Land,1,4,5
1,Floods-Burned-Land,1,5,9
1,Floods-Burned-Land,2,1,26
1,Floods-Burned-Land,2,2,23
1,Floods-Burned-Land,2,3,18
1,Floods-Burned-Land,2,4,9
1,Floods-Burned-Land,2,5,11
1,Floods-Burned-Land,3,1,16
1,Floods-Burned-Land,3,2,10
1,Floods-Burned-Land,3,3,9
1,Floods-Burned-Land,3,4,4
1,Floods-Burned-Land,3,5,14
1,Floods-Burned-Land,4,1,-4
1,Floods-Burned-Land,4,2,-4
1,Floods-Burned-Land,4,3,4
1,Floods-Burned-Land,4,4,2
1,Floods-Burned-Land,4,5,6
1,Floods-Burned-Land,5,1,-1
1,Floods-Burned-Land,5,2,-10
1,Floods-Burned-Land,5,3,-4
1,Floods-Burned-Land,5,4,13
1,Floods-Burned-Land,5,5,13

